Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
1.616667 0.163442 -0.322722 0.690496 -0.626381 -228.474854 1165.102417 34.889515
1.625000 0.163438 -0.322707 0.690507 -0.626377 -228.477722 1165.102295 34.890656
1.633333 0.163435 -0.322694 0.690508 -0.626384 -228.472977 1165.101318 34.891159
1.641667 0.163408 -0.323120 0.690453 -0.626231 -228.449188 1165.070313 34.889530
1.650000 0.163402 -0.323246 0.690423 -0.626201 -228.442215 1165.061401 34.888031
1.658333 0.163406 -0.322827 0.690478 -0.626355 -228.463516 1165.091064 34.888962
1.666667 0.163410 -0.323129 0.690437 -0.626244 -228.444809 1165.070801 34.885857
1.675000 0.163424 -0.323206 0.690392 -0.626250 -228.445145 1165.067871 34.885056
1.683333 0.163418 -0.322810 0.690477 -0.626362 -228.466034 1165.096802 34.888435
1.691667 0.163409 -0.322691 0.690503 -0.626398 -228.470200 1165.104004 34.889816
1.700000 0.163382 -0.323085 0.690443 -0.626267 -228.446655 1165.076660 34.885944
1.708333 0.163390 -0.323222 0.690425 -0.626215 -228.442200 1165.066650 34.886360
1.716667 0.163412 -0.322830 0.690485 -0.626345 -228.463745 1165.095337 34.888252
1.725000 0.163432 -0.322709 0.690516 -0.626368 -228.474030 1165.105225 34.891151
1.733333 0.163407 -0.323124 0.690456 -0.626227 -228.448120 1165.074097 34.888424
1.741667 0.163399 -0.323246 0.690420 -0.626206 -228.437744 1165.065063 34.885136
1.750000 0.163436 -0.322842 0.690475 -0.626344 -228.464142 1165.092896 34.888760
1.758333 0.163407 -0.323155 0.690448 -0.626219 -228.446030 1165.071045 34.887409
1.766667 0.163421 -0.323251 0.690427 -0.626189 -228.439453 1165.064819 34.887032
1.775000 0.163432 -0.322844 0.690474 -0.626344 -228.463150 1165.092529 34.887589
1.783333 0.163432 -0.322707 0.690488 -0.626399 -228.468384 1165.102295 34.889332
1.791667 0.163416 -0.323110 0.690440 -0.626249 -228.445801 1165.072876 34.887047
1.800000 0.163400 -0.323235 0.690427 -0.626204 -228.442108 1165.064331 34.884979
1.808333 0.163439 -0.322807 0.690457 -0.626381 -228.472763 1165.096313 34.886734
1.816667 0.163439 -0.322705 0.690480 -0.626408 -228.471512 1165.105347 34.887840
1.825000 0.163424 -0.324019 0.690478 -0.625736 -228.368347 1165.037842 34.874214
1.833333 0.163436 -0.323051 0.690486 -0.626224 -228.441925 1165.083862 34.884941
1.841667 0.163428 -0.323200 0.690423 -0.626218 -228.441391 1165.067017 34.886002
1.850000 0.163405 -0.323248 0.690427 -0.626195 -228.443695 1165.059570 34.884750
1.858333 0.163397 -0.323252 0.690417 -0.626206 -228.442047 1165.062500 34.883438
1.866667 0.163414 -0.322820 0.690485 -0.626349 -228.464996 1165.096313 34.885689
1.875000 0.163439 -0.323088 0.690398 -0.626301 -228.451920 1165.074829 34.885838
1.883333 0.163411 -0.323214 0.690402 -0.626238 -228.441711 1165.064575 34.885212
1.891667 0.163405 -0.323260 0.690411 -0.626206 -228.437103 1165.063599 34.885162
1.900000 0.163439 -0.322822 0.690479 -0.626349 -228.463058 1165.094849 34.888676
1.908333 0.164189 -0.323014 0.689977 -0.626607 -228.381790 1165.044312 34.913597
1.916667 0.163666 -0.323171 0.690264 -0.626346 -228.425217 1165.060059 34.894417
1.925000 0.163476 -0.322815 0.690458 -0.626366 -228.460876 1165.092529 34.892471
1.933333 0.163419 -0.322710 0.690522 -0.626364 -228.472504 1165.101563 34.890816
1.941667 0.163404 -0.323122 0.690464 -0.626219 -228.447052 1165.073364 34.889786
1.950000 0.163443 -0.322760 0.690475 -0.626384 -228.470917 1165.096802 34.889587
1.958333 0.163403 -0.322674 0.690509 -0.626401 -228.470779 1165.101318 34.888882
1.966667 0.163429 -0.322671 0.690502 -0.626403 -228.472900 1165.103149 34.888893
1.975000 0.163432 -0.322677 0.690511 -0.626390 -228.471985 1165.099976 34.889355
1.983333 0.163425 -0.322683 0.690507 -0.626393 -228.474350 1165.101807 34.890213
1.991667 0.163435 -0.322704 0.690502 -0.626386 -228.475006 1165.103394 34.891003
2.000000 0.163467 -0.322671 0.690483 -0.626415 -228.479889 1165.103882 34.890705
2.008333 0.163441 -0.322678 0.690504 -0.626395 -228.477829 1165.102173 34.890526
2.016667 0.163426 -0.322678 0.690497 -0.626406 -228.474136 1165.106079 34.889645
2.025000 0.163419 -0.322696 0.690518 -0.626376 -228.475708 1165.105347 34.890240
2.033333 0.163414 -0.322699 0.690523 -0.626370 -228.478424 1165.101685 34.888714
2.041667 0.163408 -0.322715 0.690507 -0.626381 -228.475922 1165.101318 34.887737
2.050000 0.163385 -0.323140 0.690448 -0.626233 -228.447693 1165.071045 34.884907
2.058333 0.163414 -0.323252 0.690423 -0.626195 -228.440170 1165.062866 34.886463
2.066667 0.163390 -0.323303 0.690410 -0.626189 -228.440826 1165.062012 34.882664
2.075000 0.163451 -0.322804 0.690445 -0.626393 -228.469116 1165.095581 34.888466
2.083333 0.163432 -0.322687 0.690488 -0.626409 -228.472977 1165.102173 34.888718
2.091667 0.163428 -0.322686 0.690505 -0.626393 -228.475571 1165.104492 34.890198
