Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
163,1.358333,-0.329854,-0.448489,0.487585,-0.672544,65.292442,1238.928101,-448.161255
164,1.366667,-0.329595,-0.448150,0.487273,-0.673122,65.388908,1238.916138,-448.153076
165,1.375000,-0.329604,-0.448161,0.487278,-0.673108,65.387642,1238.911377,-448.150635
166,1.383333,-0.329599,-0.448142,0.487285,-0.673118,65.385941,1238.912231,-448.151367
167,1.391667,-0.329580,-0.448153,0.487269,-0.673131,65.386589,1238.908936,-448.149567
168,1.400000,-0.329857,-0.448477,0.487592,-0.672545,65.289673,1238.925049,-448.154846
169,1.408333,-0.329589,-0.448147,0.487283,-0.673120,65.385460,1238.914185,-448.148102
170,1.416667,-0.329604,-0.448135,0.487280,-0.673123,65.384300,1238.911499,-448.148041
171,1.425000,-0.329596,-0.448129,0.487277,-0.673133,65.384720,1238.908203,-448.147461
172,1.433333,-0.329599,-0.448107,0.487280,-0.673144,65.381706,1238.907104,-448.146637
173,1.441667,-0.329608,-0.448139,0.487275,-0.673122,65.384399,1238.906128,-448.144073
174,1.450000,-0.329586,-0.448127,0.487274,-0.673141,65.386406,1238.905029,-448.143860
175,1.458333,-0.329616,-0.448109,0.487256,-0.673152,65.380821,1238.906738,-448.144623
176,1.466667,-0.329623,-0.448100,0.487277,-0.673139,65.381462,1238.905396,-448.143860
177,1.475000,-0.329628,-0.448136,0.487252,-0.673131,65.383690,1238.906372,-448.142548
178,1.483333,-0.329618,-0.448133,0.487268,-0.673127,65.384338,1238.903442,-448.138611
